pitch,vel,dur,db(lab),db(audi),duration(lab),duration(audi),db(lab) - db(audi),dur(lab) - dur(audi)
78,1,1,50.514435,51.58692,0.12,0.23,-1.072485,-0.11
79,1,1,52.495045,51.29719,0.26,0.14,1.197855,0.12
80,1,1,52.71746,48.44716,0.21,0.11,4.2703,0.1
81,1,1,53.529938,45.867172,0.27,0.11,7.662766,0.16
82,1,1,51.026535,45.830555,0.11,0.11,5.19598,0
83,1,1,50.761383,49.54722,0.11,0.11,1.214163,0
84,1,1,51.206093,42.70045,0.11,0.11,8.505643,0
85,1,1,50.01227,44.9385,0.11,0.11,5.07377,0
86,1,1,46.794895,44.154247,0.11,0.11,2.640648,0
87,1,1,46.38674,46.653893,0.11,0.11,-0.267153,0
88,1,1,47.089333,47.765522,0.11,0.11,-0.676189,0
89,1,1,46.2573,42.61203,0.11,0.11,3.64527,0
90,1,1,47.552177,46.82658,0.11,0.11,0.725597,0
91,1,1,45.583244,49.619553,0.11,0.11,-4.036309,0
92,1,1,47.96608,47.993954,0.11,0.11,-0.027874,0
93,1,1,49.297832,45.15262,0.11,0.11,4.145212,0
94,1,1,46.72938,48.811745,0.11,0.11,-2.082365,0
95,1,1,47.905296,47.776737,0.11,0.11,0.128559,0
96,1,1,45.039444,52.3363,0.11,0.11,-7.296856,0
97,1,1,49.181656,54.258194,0.11,0.11,-5.076538,0
98,1,1,46.868782,54.719116,0.11,0.11,-7.850334,0
99,1,1,47.86694,54.53817,0.11,0.11,-6.67123,0
100,1,1,47.37539,53.973755,0.11,0.11,-6.598365,0
101,1,1,48.72048,49.880047,0.11,0.11,-1.159567,0
102,1,1,51.267895,49.817608,0.11,0.11,1.450287,0
103,1,1,46.632137,48.63945,0.11,0.11,-2.007313,0
104,1,1,49.126236,51.535515,0.11,0.11,-2.409279,0
105,1,1,48.352577,49.518402,0.11,0.11,-1.165825,0
106,1,1,49.56167,49.753326,0.11,0.11,-0.191656,0
107,1,1,47.503166,47.08773,0.11,0.11,0.415436,0
108,1,1,47.84915,51.47738,0.11,0.11,-3.62823,0
21,9,0.1,60.189724,57.057518,0.3,0.14,3.132206,0.16
22,9,0.1,49.399242,56.646317,0.11,0.11,-7.247075,0
23,9,0.1,58.402493,57.246346,0.19,0.13,1.156147,0.06
24,9,0.1,61.92558,58.341045,0.19,0.14,3.584535,0.05
25,9,0.1,59.72042,55.6579,0.25,0.11,4.06252,0.14
26,9,0.1,54.83477,54.531757,0.16,0.12,0.303013,0.04
27,9,0.1,58.239803,57.80821,0.17,0.13,0.431593,0.04
28,9,0.1,60.278816,59.44567,0.22,0.14,0.833146,0.08
29,9,0.1,58.52978,46.063843,0.19,0.11,12.465937,0.08
30,9,0.1,58.72517,56.758793,0.25,0.12,1.966377,0.13
31,9,0.1,51.77277,60.40779,0.12,0.15,-8.63502,-0.03
32,9,0.1,49.236336,57.875782,0.11,0.11,-8.639446,0
33,9,0.1,60.814762,54.18892,0.16,0.11,6.625842,0.05
34,9,0.1,62.878654,58.62286,0.28,0.12,4.255794,0.16
35,9,0.1,58.491604,58.02536,0.21,0.11,0.466244,0.1
36,9,0.1,59.041336,50.56744,0.19,0.11,8.473896,0.08
37,9,0.1,57.3245,58.763855,0.13,0.13,-1.439355,0
38,9,0.1,54.520782,54.818264,0.13,0.11,-0.297482,0.02
39,9,0.1,57.725906,55.477802,0.21,0.12,2.248104,0.09
40,9,0.1,62.41948,55.22536,0.22,0.11,7.19412,0.11
41,9,0.1,61.057648,50.43956,0.18,0.11,10.618088,0.07
42,9,0.1,57.41585,55.939877,0.23,0.12,1.475973,0.11
43,9,0.1,60.520725,47.80517,0.24,0.11,12.715555,0.13
44,9,0.1,57.251083,57.443497,0.2,0.14,-0.192414,0.06
45,9,0.1,61.157425,52.549553,0.22,0.11,8.607872,0.11
46,9,0.1,56.481342,51.815876,0.2,0.11,4.665466,0.09
47,9,0.1,58.648376,55.94883,0.21,0.11,2.699546,0.1
48,9,0.1,58.37544,57.93672,0.19,0.12,0.43872,0.07
49,9,0.1,59.78407,52.505768,0.24,0.11,7.278302,0.13
50,9,0.1,57.77623,59.534573,0.19,0.13,-1.758343,0.06
51,9,0.1,64.87612,58.49466,0.25,0.12,6.38146,0.13
