,db(lab),db(audi),duration(lab),duration(audi),,
280,69.87210846,73.19600677,0.52,0.37,0.15,-3.323898315
281,70.16967773,74.90127563,0.52,0.47,0.05,-4.7315979
282,69.81510925,74.96064758,0.64,0.63,0.01,-5.14553833
283,70.56965637,74.96494293,0.9,1,-0.1,-4.39528656
284,72.14562988,75.69628143,0.57,0.42,0.15,-3.55065155
285,72.4156189,77.20328522,0.63,0.49,0.14,-4.787666321
286,71.58482361,77.52018738,0.72,0.67,0.05,-5.93536377
287,74.81789398,77.29962158,1,1,0,-2.4817276
288,75.44736481,77.78990173,0.73,0.49,0.24,-2.342536926
289,75.21703339,79.13124084,0.74,0.54,0.2,-3.914207458
290,74.6999588,79.16325378,0.85,0.7,0.15,-4.463294983
291,75.53444672,78.93093109,1,1,0,-3.396484375
292,75.62302399,80.04803467,0.71,0.56,0.15,-4.425010681
293,75.082901,80.42649841,0.74,0.63,0.11,-5.343597412
294,75.93456268,81.40699005,0.88,0.75,0.13,-5.472427368
295,76.56968689,80.17195892,1,1,0,-3.602272034
296,75.91075897,82.37799835,0.82,0.66,0.16,-6.46723938
297,76.04843903,82.19078064,0.85,0.66,0.19,-6.142341614
298,76.36986542,82.37850952,0.88,0.82,0.06,-6.008644104
299,77.6840744,82.83891296,1,1,0,-5.154838562
300,79.88799286,83.49877167,0.9,0.68,0.22,-3.610778809
301,78.90119171,84.36871338,1,0.73,0.27,-5.467521667
302,79.70692444,84.04241943,1,0.88,0.12,-4.335494995
303,78.504776,83.44467163,1,1,0,-4.93989563
304,80.42977905,85.08317566,0.91,0.78,0.13,-4.653396606
305,79.98497009,85.84011841,1,0.78,0.22,-5.855148315
306,80.37684631,85.70676422,1,0.93,0.07,-5.329917908
307,80.16548157,86.00865173,1,1,0,-5.843170166
308,79.21321869,85.07084656,0.91,0.78,0.13,-5.857627869
309,80.04881287,86.0078125,0.88,0.78,0.1,-5.958999634
310,79.63504791,86.05427551,1,0.9,0.1,-6.4192276
311,80.3261261,85.64001465,1,1,0,-5.31388855
312,80.01410675,85.39846802,0.91,0.78,0.13,-5.384361267
313,80.27812958,86.16277313,1,0.8,0.2,-5.884643555
314,79.73034668,85.79684448,1,0.9,0.1,-6.066497803
315,80.26826477,85.91915894,1,1,0,-5.650894165
316,80.68619537,85.07276917,1,0.78,0.22,-4.386573792
317,80.14405823,85.77013397,0.91,0.78,0.13,-5.626075745
318,80.0718689,85.75859833,1,0.9,0.1,-5.686729431
319,80.09393311,85.86854553,1,1,0,-5.774612427
320,59.3453331,66.66796875,0.29,0.29,0,-7.322635651
321,54.26927185,57.46243286,0.11,0.11,0,-3.193161011
322,52.22731018,56.63423538,0.11,0.11,0,-4.406925201
323,54.33590317,56.77762985,0.11,0.11,0,-2.441726685
324,52.96753693,58.82353592,0.11,0.15,-0.04,-5.855998993
325,52.54825592,56.19565964,0.11,0.11,0,-3.647403717
326,54.35441589,55.7816124,0.11,0.11,0,-1.427196503
327,53.61351013,55.95394897,0.11,0.11,0,-2.340438843
328,56.72429657,62.34580231,0.15,0.16,-0.01,-5.621505737
329,56.80070496,62.48147583,0.18,0.25,-0.07,-5.680770874
330,57.28152847,62.66422272,0.15,0.38,-0.23,-5.382694244
331,58.40081406,62.52838135,0.23,0.78,-0.55,-4.127567291
332,60.7040329,66.1127243,0.17,0.23,-0.06,-5.408691406
333,60.94307709,66.1081543,0.22,0.31,-0.09,-5.165077209
334,61.48537827,66.50457764,0.39,0.46,-0.07,-5.019199371
335,65.03344727,66.24079895,0.79,0.82,-0.03,-1.207351685
336,64.86733246,68.33872223,0.29,0.25,0.04,-3.471389771
337,64.76794434,68.2059021,0.29,0.36,-0.07,-3.437957764
338,65.50547791,68.45935059,0.48,0.51,-0.03,-2.953872681
339,68.5398407,68.12416077,0.86,0.85,0.01,0.415679932
340,68.29867554,70.87682343,0.34,0.32,0.02,-2.578147888
341,67.97807312,70.88072205,0.39,0.4,-0.01,-2.902648926
342,67.99819946,71.16169739,0.58,0.57,0.01,-3.163497925
343,70.31369781,71.0302124,0.95,0.9,0.05,-0.716514587
344,70.17982483,73.33170319,0.44,0.36,0.08,-3.151878357
345,69.88200378,71.56251526,0.52,0.46,0.06,-1.680511475
346,69.52877045,71.77705383,0.6,0.62,-0.02,-2.248283386
347,72.64073181,71.77763367,1,0.98,0.02,0.863098145
348,72.64238739,72.66616058,0.49,0.41,0.08,-0.023773193
349,72.5326767,73.29560852,0.57,0.49,0.08,-0.762931824
350,72.73701477,73.62156677,0.72,0.62,0.1,-0.884552002
351,74.59502411,73.69265747,1,1,0,0.902366638
352,73.88539124,74.9796524,0.61,0.51,0.1,-1.094261169
353,74.21738434,74.71875,0.67,0.6,0.07,-0.501365662
354,73.95100403,75.28742981,0.81,0.7,0.11,-1.336425781
355,77.11961365,75.61343384,1,1,0,1.50617981
356,76.4511261,76.70117188,0.72,0.51,0.21,-0.250045776
357,76.87874603,77.12188721,0.78,0.62,0.16,-0.243141174
358,76.22811127,77.60612488,0.87,0.75,0.12,-1.378013611
359,78.26008606,77.47549438,1,1,0,0.784591675
360,78.8144455,78.84446716,0.75,0.65,0.1,-0.030021667
361,77.48488617,78.99114227,0.84,0.7,0.14,-1.506256104
362,78.33344269,79.29988098,0.91,0.77,0.14,-0.966438293
363,80.2641983,79.59777832,1,1,0,0.666419983
364,80.26193237,80.74409485,0.94,0.67,0.27,-0.482162476
365,79.50946045,81.23261261,0.89,0.72,0.17,-1.723152161
366,79.1574707,81.74338531,1,0.91,0.09,-2.585914612
367,79.38071442,81.29720306,1,1,0,-1.916488647
368,79.11958313,82.42599487,0.84,0.77,0.07,-3.306411743
369,79.37982941,83.08335876,1,0.8,0.2,-3.703529358
370,79.2845459,83.09171295,1,0.93,0.07,-3.807167053
371,79.29725647,83.17192841,1,1,0,-3.874671936
372,79.79699707,82.67405701,0.86,0.75,0.11,-2.877059937
373,79.33463287,83.15274811,0.89,0.8,0.09,-3.818115234
374,79.34423065,83.48014832,1,0.93,0.07,-4.135917664
375,79.39952087,83.46466064,1,1,0,-4.065139771
376,79.32597351,82.88784027,0.84,0.77,0.07,-3.56186676
377,79.42619324,83.18675232,0.89,0.8,0.09,-3.760559082
